"","lat","lon","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"154","1650","-3712.5",159.9,147.6,123.3,94.8,95.4,90,68.1,72,125.4,211.5,234.6,219
"155","1725","-3712.5",70.2,66.6,62.1,54,78.9,102,97.2,83.4,76.8,104.1,102.9,93.9
"156","1800","-3712.5",32.4,33.6,36,38.1,74.4,113.4,127.5,88.2,52.5,55.2,47.1,39.6
"157","1875","-3712.5",19.8,22.8,26.1,40.8,86.7,132.9,163.5,111.3,59.7,38.7,25.8,21
"158","1950","-3712.5",15.3,17.4,21.9,32.4,48.6,82.8,123.9,93.9,49.8,28.2,16.2,15.3
"159","2025","-3712.5",17.1,16.5,20.1,19.5,17.1,33.6,51,47.7,44.1,26.1,17.7,18
"160","-2700","-3600",0,0,0,0,0,0,0,0,0,0,0,0
"161","-2625","-3600",2.4,3,3.6,3.6,4.8,4.2,3.6,3,2.4,3,2.7,3
"162","-2550","-3600",5.4,6.9,7.8,8.4,9,8.4,7.5,5.1,4.8,5.4,6.3,6
"163","-2475","-3600",8.7,11.1,12.6,10.8,10.5,10.8,9.6,7.2,6.6,8.7,8.4,7.2
"164","-2400","-3600",14.7,21,24.3,20.7,18.3,18.9,17.7,13.8,13.8,17.1,16.8,13.5
"165","-2325","-3600",30.6,41.1,46.8,53.4,52.2,52.2,53.4,39.9,38.4,39.6,31.2,30
"166","1200","-3600",259.5,265.5,224.4,135.6,60.6,24.9,12.9,8.1,25.8,66.3,150.6,268.2
"167","1275","-3600",164.1,145.2,141.6,97.8,62.7,22.8,3.9,3.3,21,73.2,149.1,211.8
"168","1350","-3600",153.3,129,122.7,93,66.6,21.3,1.5,1.5,19.8,84.6,159,206.4
"169","1425","-3600",182.1,154.8,138.9,106.2,71.4,24.3,3.6,3.9,30,127.8,210.9,243
"170","1500","-3600",219.6,194.1,159,133.2,104.4,54.3,15.6,17.4,63,193.5,268.8,290.4
"171","1575","-3600",164.4,150,126.3,96.9,92.7,66.6,33,32.4,81,168,210.3,213.3
"172","1650","-3600",78.9,77.1,74.1,69.9,99.3,114.6,94.8,82.2,77.1,100.5,108.9,99.6
"173","1725","-3600",26.1,27.9,31.8,35.4,85.8,119.7,123.6,98.1,51,40.2,34.5,31.5
"174","1800","-3600",19.5,23.4,29.4,37.2,88.8,124.5,160.2,111.6,50.1,33.3,24.6,21.3
"175","1875","-3600",15,17.7,20.7,29.4,67.8,100.2,147.3,101.7,46.8,25.8,15.3,13.8
"176","1950","-3600",14.7,17.1,20.7,25.2,33.6,62.7,102,77.1,40.8,25.2,14.4,14.4
"177","2025","-3600",18,16.8,19.5,15.9,17.7,39.6,56.7,50.7,41.7,25.8,17.1,18.3
"178","2100","-3600",18,16.5,15.6,12.6,9.6,14.7,22.2,28.8,36.6,25.2,21.6,17.4
"179","-2700","-3487.5",0,0,0,0,0,0,0,0,0,0,0,0
"180","-2625","-3487.5",2.4,3,3.9,3.6,4.8,4.2,3.6,3,2.7,3,2.4,2.7
"181","-2550","-3487.5",5.1,6.6,7.2,7.8,8.4,8.1,7.2,5.4,5.1,5.4,6,5.7
